Address,OpenPLC_Location,Tag,Direction,DataType,Scaling,Units,Description,Owner
HR001,%QW0,LIT101_PV,Simulink_to_PLC,UINT16,% x10,%,Raw-water tank level,Simulink
HR002,%QW1,LIT201_PV,Simulink_to_PLC,UINT16,% x10,%,Treatment-tank level,Simulink
HR003,%QW2,LIT301_PV,Simulink_to_PLC,UINT16,% x10,%,Clean-water tank level,Simulink
HR004,%QW3,FIT101_PV,Simulink_to_PLC,UINT16,L/s x10,L/s,Raw transfer flow,Simulink
HR005,%QW4,FIT201_PV,Simulink_to_PLC,UINT16,L/s x10,L/s,Treatment transfer flow,Simulink
HR006,%QW5,FIT301_PV,Simulink_to_PLC,UINT16,L/s x10,L/s,Distribution demand,Simulink
HR007,%QW6,AIT201_PV,Simulink_to_PLC,UINT16,mg/L x100,mg/L,Measured treatment concentration,Simulink
HR008,%QW7,PIT301_PV,Simulink_to_PLC,UINT16,kPa x10,kPa,Measured distribution pressure,Simulink
HR009,%QW8,Plant_Heartbeat,Simulink_to_PLC,UINT16,count,count,Incrementing Simulink heartbeat,Simulink
HR101,%QW100,P101A_SpeedCmd,PLC_to_Simulink,UINT16,% x10,%,P-101A speed command,OpenPLC
HR102,%QW101,P101B_SpeedCmd,PLC_to_Simulink,UINT16,% x10,%,P-101B speed command,OpenPLC
HR103,%QW102,P201_SpeedCmd,PLC_to_Simulink,UINT16,% x10,%,P-201 speed command,OpenPLC
HR104,%QW103,P301A_SpeedCmd,PLC_to_Simulink,UINT16,% x10,%,P-301A speed command,OpenPLC
HR105,%QW104,P301B_SpeedCmd,PLC_to_Simulink,UINT16,% x10,%,P-301B speed command,OpenPLC
HR106,%QW105,DP201_Output,PLC_to_Simulink,UINT16,% x10,%,Dosing-pump output,OpenPLC
HR201,%QW200,Pressure_SP,Ignition_or_Test_to_PLC,UINT16,kPa x10,kPa,Pressure setpoint,Ignition/MATLAB
HR202,%QW201,Concentration_SP,Ignition_or_Test_to_PLC,UINT16,mg/L x100,mg/L,Concentration setpoint,Ignition/MATLAB
HR203,%QW202,BatchFill_SP,Ignition_or_Test_to_PLC,UINT16,% x10,%,Treatment fill target,Ignition/MATLAB
HR204,%QW203,MixTime_SP,Ignition_or_Test_to_PLC,UINT16,s,s,Mixing time,Ignition/MATLAB
